line_name,smiles,mean_IC50,mean_pIC50
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3247,1.844462602658667
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5426,1.8783346399824656
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5426,1.8783346399824656
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5426,1.8783346399824656
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5426,1.8783346399824656
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5426,1.8783346399824656
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5107,1.8734469773215976
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5107,1.8734469773215976
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5107,1.8734469773215976
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5107,1.8734469773215976
DU-145,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.5107,1.8734469773215976
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
EKVX,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0812,1.8052020449245438
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0812,1.8052020449245438
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0812,1.8052020449245438
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0812,1.8052020449245438
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0812,1.8052020449245438
HCC-2998,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.0878,1.8062867685085924
